Station ID,Station,Address,Latitude,Longitude,Elevation (metres),Air Intake Height (metres),Frequency,Link,,,,,,,
47045,Barrie,83 Perry St.,44.382361,-79.702306,226,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=47045,,,,,,,
54012,Belleville,2 Sidney St.,44.150528,-77.3955,75,10,Hourly,http://www.airqualityontario.com/history/station.php?stationid=54012,,,,,,,
46090,Brampton,109 Mclaughlin Rd. S.,43.669911,-79.766589,218,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=46090,,,,,,,
21005,Brantford,324 Grand River Ave.,43.138611,-80.292639,205,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=21005,,,,,,,
44008,Burlington,North Shore Blvd. E./lakeshore Rd.,43.315111,-79.802639,78,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=44008,,,,,,,
13001,Chatham,435 Grand Ave. W.,42.403694,-82.208306,179,15,Hourly,http://www.airqualityontario.com/history/station.php?stationid=13001,,,,,,,
56051,Cornwall,Bedford St./3rd St. W.,45.017972,-74.735222,55,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=56051,,,,,,,
28028,Guelph,Exhibition St./clark St. W.,43.551611,-80.264167,330,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=28028,,,,,,,
29000,Hamilton,Elgin St./kelly St.,43.257778,-79.861667,90,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=29000,,,,,,,
52023,Kingston,23 Beechgrove Lane,44.219722,-76.521111,84,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=52023,,,,,,,
26060,Kitchener,West Ave./homewood Ave.,43.443833,-80.503806,325,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=26060,,,,,,,
15026,London,42 St. Julien St.,42.97446,-81.200858,244,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=15026,,,,,,,
44029,Milton,1120 Main St. E.,43.52965,-79.862449,206,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=44029,,,,,,,
46108,Mississauga,3359 Mississauga Rd. N.,43.54697,-79.65869,105,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=46108,,,,,,,
48006,Newmarket,Eagle St. W./mccaffrey Rd.,44.044306,-79.48325,268,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=48006,,,,,,,
75010,North Bay,Chippewa St. W.,46.3225,-79.4494444,212,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=75010,,,,,,,
44017,Oakville,Eighth Line/glenashton Dr.,43.486917,-79.702278,165,12,Hourly,http://www.airqualityontario.com/history/station.php?stationid=44017,,,,,,,
45027,Oshawa,Brittania Ave. W.,43.95222,-78.9125,161,3,Hourly,http://www.airqualityontario.com/history/station.php?stationid=45027,,,,,,,
51001,Ottawa,Rideau St./wurtemburg St.,45.434333,-75.676,68,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=51001,,,,,,,
49005,Parry Sound,7 Bay St.,45.338261,-80.039269,176,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=49005,,,,,,,
59006,Peterborough,10 Hospital Dr.,44.301917,-78.346222,226,10,Hourly,http://www.airqualityontario.com/history/station.php?stationid=59006,,,,,,,
16015,Port Stanley,43665 Dexter Line,42.672083,-81.162889,212,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=16015,,,,,,,
14111,Sarnia,700 Christina St. N.,42.990263,-82.395341,182,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=14111,,,,,,,
71078,Sault Ste. Marie,Sault College,46.533194,-84.309917,244,8,Hourly,http://www.airqualityontario.com/history/station.php?stationid=71078,,,,,,,
27067,St. Catharines,Argyle Cres.,43.160056,-79.23475,105,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=27067,,,,,,,
77233,Sudbury,155 Elm St.,46.49194,-81.003105,271,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=77233,,,,,,,
63203,Thunder Bay,421 James St. S.,48.379389,-89.290167,192,15,Hourly,http://www.airqualityontario.com/history/station.php?stationid=63203,,,,,,,
31129,Toronto,55 John St.,43.64543,-79.38908,85,3,Hourly,http://www.airqualityontario.com/history/station.php?stationid=31129,,,,,,,
12008,Windsor,467 University Ave. W.,42.315778,-83.043667,176,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=12008,,,,,,,
